#,Exchange,Pair,Price,Spread,2% Depth,-2% Depth,24h Volume,Volume %,Last Traded
146,Okcoin,ETH/USDT,"$1,564.03",0.03%,"$213,209","$300,807","$2,380,701",?,Recently
147,BitMart,LTC/ETH,"$1,562.38",0.01%,"$236,224","$258,337","$3,047,636",?,Recently
148,PancakeSwap (v2),ETH/USDC Live Chart,"$1,569.10",0.60%,"$399,304","$398,104","$1,873,079",?,Recently
149,Bilaxy,ETH/USDT,"$1,560.47",0.01%,"$147,520","$164,099","$20,375,685",?,Recently
150,Bybit,ETH/BTC,"$1,558.44",0.07%,"$234,528","$250,897","$4,282,527",?,Recently
151,Independent Reserve,ETH/AUD,"$1,558.45",0.13%,"$254,052","$268,713","$340,952",?,Recently
152,Tidex,BNB/ETH,"$1,562.38",0.11%,"$262,628","$242,377","$753,263",?,Recently
153,FTX,ETH/BRZ,"$1,562.38",0.49%,"$308,757","$372,239","$459,000",?,Recently
154,Coinsbit,ADA/ETH,"$1,562.38",0.20%,"$158,062","$392,702","$41,749",?,Recently
155,Nominex,ETH/BTC,"$1,560.20",0.01%,"$155,814","$286,232","$227,245",?,Recently
156,Blockchain.com,ETH/BTC,"$1,557.20",0.02%,"$334,572","$108,783","$364,659",?,Recently
157,Mercado Bitcoin,ETH/BRL,"$1,564.97",0.15%,"$224,098","$268,623","$662,372",?,Recently
158,Zonda,ETH/PLN,"$1,568.40",0.31%,"$263,684","$296,808","$738,775",?,Recently
159,Hotbit,ETH/USDT,"$1,562.49",0.11%,"$383,796","$36,227","$6,043,368",?,Recently
160,EXMO,ETH/LTC,"$1,561.00",0.27%,"$490,307","$37,458","$2,115,792",?,Recently
161,LATOKEN,ETH/BTC,"$1,561.90",0.01%,"$216,399","$209,989","$770,091",?,Recently
162,Kraken,ETH/DAI,"$1,560.01",0.24%,"$260,453","$269,008","$73,840",?,Recently
163,Coinsbit,ETH/USDC,"$1,563.43",0.04%,"$179,371","$186,236","$7,859,129",?,Recently
164,AscendEX (BitMax),ETH/BTC,"$1,562.63",0.11%,"$217,990","$237,720","$735,388",?,Recently
165,Binance,ETH/TRY,"$1,576.86",0.02%,"$222,014","$107,451","$9,418,022",?,Recently
166,EXMO,WAVES/ETH,"$1,562.38",0.54%,"$9,177","$625,620","$290,094",?,Recently
167,CoinJar Exchange,ETH/BTC,"$1,568.59",0.26%,"$292,687","$210,276","$157,839",?,Recently
168,Coinsbit,ETH/EUR,"$1,562.25",0.05%,"$190,804","$199,601","$2,692,038",?,Recently
169,Kraken,ETH/CHF,"$1,562.01",0.21%,"$160,053","$308,375","$948,800",?,Recently
170,BTCMarkets,ETH/AUD,"$1,560.20",0.18%,"$259,183","$192,389","$506,440",?,Recently
171,Bitstamp,ETH/USDT,"$1,564.15",0.12%,"$160,957","$242,089","$2,689,123",?,Recently
172,YoBit,ETH/BTC,"$1,565.03",0.56%,"$3,747","$4,404","$59,329,819",?,Recently
173,Binance,ETH/DAI,"$1,560.62",0.03%,"$171,468","$101,859","$12,041,896",?,Recently
174,Independent Reserve,ETH/SGD,"$1,558.78",0.74%,"$379,364","$278,224","$341,023",?,Recently
175,CoinJar Exchange,ETH/USDC,"$1,563.20",0.26%,"$275,742","$196,223","$208,872",?,Recently
176,Coinsbit,WAVES/ETH,"$1,562.38",0.53%,"$298,217","$274,681","$321,714",?,Recently
177,Bibox,ETC/ETH,"$1,562.38",0.10%,"$200,093","$207,521","$515,190",?,Recently
178,Poloniex,ETH/USDC,"$1,561.78",0.02%,"$185,160","$159,763","$3,596,378",?,Recently
179,AscendEX (BitMax),ETH/USD,"$1,560.60",0.10%,"$104,835","$303,213","$200,537",?,Recently
180,Bibox,LINK/ETH,"$1,562.38",0.13%,"$209,040","$201,841","$656,532",?,Recently
181,C-Patex,BNB/ETH,"$1,562.38",1.40%,"$824,812","$58,213","$1,197",?,Recently
182,Bibox,ETH/USDT,"$1,560.77",0.01%,"$99,647","$105,241","$16,445,812",?,Recently
183,Bittrex,ETH/EUR,"$1,562.52",0.11%,"$168,611","$230,254","$164,431",?,Recently
184,Tokenize,ETH/XSGD,"$1,558.80",0.60%,"$276,175","$282,613","$1,037,884",?,Recently
185,Kraken,ETH/AUD,"$1,560.26",0.18%,"$208,928","$210,152","$61,015",?,Recently
186,Kanga,ETH/USDC,"$1,561.52",1.12%,"$288,185","$434,100","$3,011,427",?,Recently
187,BtcTurk PRO,ETH/TRY,"$1,576.84",0.09%,"$161,490","$174,040","$4,669,292",?,Recently
188,Bibox,XRP/ETH,"$1,562.38",0.18%,"$200,482","$201,321","$639,593",?,Recently
189,OKX,ETH/USDK,"$1,564.76",0.06%,"$183,883","$167,271","$1,727,272",?,Recently
190,Dcoin,EOS/ETH,"$1,562.38",0.22%,"$166,427","$244,950","$1,049,344",?,Recently
191,EXMO,ETH/PLN,"$1,564.01",1.48%,"$434,266","$417,352","$48,782",?,Recently
192,Bibox,BSV/ETH,"$1,562.38",0.22%,"$199,750","$206,675","$578,309",?,Recently
193,ProBit Global,ETH/BTC,"$1,563.25",0.14%,"$57,687","$67,651","$25,952,521",?,Recently
194,Independent Reserve,ETH/NZD,"$1,558.27",0.93%,"$301,711","$331,245","$341,001",?,Recently
195,BtcTurk PRO,ETH/USDT,"$1,562.18",0.07%,"$196,053","$108,196","$4,407,194",?,Recently
196,Bibox,EOS/ETH,"$1,562.38",0.25%,"$201,321","$197,211","$503,646",?,Recently
197,Binance US,ETH/USDC,"$1,560.08",0.07%,"$170,798","$163,048","$1,133,625",?,Recently
198,Bibox,LTC/ETH,"$1,562.38",0.31%,"$216,784","$199,463","$586,648",?,Recently
199,Bitso,ETH/MXN,"$1,560.60",0.05%,"$207,601","$118,423","$816,256",?,Recently
200,Independent Reserve,ETH/USD,"$1,562.43",0.93%,"$330,140","$274,986","$364,976",?,Recently
